"eff","sim","bf","Rhat_max","ESS_min","check"
0.15,64,0.0253631873462699,1.00321251756365,0.383560427378138,1
0.15,65,10.0589271049412,1.00446436108562,0.345388003540777,1
0.15,66,2137.86110122419,1.00268293744784,0.276474784979454,1
0.15,67,96.001003090614,1.00364250167619,0.293197452626748,1
0.15,68,9.77779736172096,1.00714185301262,0.339334587229911,1
0.15,69,4.52217382334488,1.00360852061917,0.370433266928207,1
0.15,70,6.09475322549165,1.0065629065488,0.356561904658584,1
0.15,71,0.22790099144043,1.00225934286614,0.355755617254917,1
0.15,72,0.0729966228653348,1.00352592260429,0.385913702219996,1
0.15,73,19.0521795502601,1.00653937863854,0.363625809587307,1
0.15,74,0.190365859369187,1.00540140645314,0.391130637833499,1
0.15,75,2.75590259882098,1.00295570727069,0.35912542285228,1
0.15,76,0.110483602229186,1.00344485981949,0.383191457634128,1
0.15,77,0.0426733037641081,1.00458592807705,0.35329606717315,1
0.15,78,38657.6334431166,1.00456167244755,0.260632080447032,1
0.15,79,0.286244345772068,1.00291876809727,0.378188110858813,1
0.15,80,6.19107954667092,1.00286956291677,0.327665522507124,1
0.15,81,0.339087560249009,1.00292316493328,0.365772211502585,1
0.15,82,0.124251896134881,1.00380072655077,0.346831752548113,1
0.15,83,0.021295451905875,1.00145799863213,0.371218188999854,1
0.15,84,0.60879596627359,1.00478163282672,0.314236094223829,1
0.15,85,4.444108988617,1.00329412002297,0.371443019620687,1
0.15,86,61.6577325755868,1.00558901365203,0.350638637799251,1
0.15,87,1.28452208942164,1.00292762590047,0.32007233977109,1
0.15,88,39.2790654077959,1.00434235666182,0.411400709354074,1
0.15,89,5.54876369795752,1.00259307293324,0.366537919571939,1
0.15,90,0.101002777466838,1.00336236806579,0.278251265086121,1
0.15,91,0.0231121345406589,1.00363019263592,0.395130844158124,1
0.15,92,3.9792888830925,1.00154242908659,0.328787463859493,1
0.15,93,0.0787295026413682,1.00433996228941,0.340673750624735,1
0.15,94,1.30723441459952,1.00257091938804,0.331063860449768,1
0.15,95,0.42770150759849,1.00559853186935,0.368919962524376,1
0.15,96,3.49597676205658,1.0036926848761,0.285671703999019,1
0.15,97,17310.0321382751,1.00412658329892,0.349001138706529,1
0.15,98,0.208062629880412,1.00146098708417,0.388990357898757,1
0.15,99,1.1694884560715,1.00145767095398,0.378323371699988,1
0.15,100,0.347337861626107,1.00287481564394,0.309761368311266,1
0.15,101,88.8061359148864,1.00246660711906,0.407663230524189,1
0.15,102,0.0894901543408565,1.00287632715288,0.388810519561454,1
0.15,103,4.140999246901,1.00323493721957,0.378043651577021,1
0.15,104,0.562439008865049,1.00256937840461,0.372601304661789,1
0.15,105,0.643051123143469,1.00368819951385,0.329072621386132,1
0.15,106,0.432747239936706,1.00346467019242,0.400104517211417,1
0.15,107,36.8336458295132,1.00277806565345,0.372890388906513,1
0.15,108,0.634128518818088,1.00494522491713,0.379391041644802,1
0.15,109,158.450894490816,1.00547423530984,0.242698583338379,1
0.15,110,3.59015101869575,1.0027258864365,0.359550825510401,1
0.15,111,0.288424566223527,1.00503312200338,0.334774433437268,1
0.15,112,1.39084971997014,1.00417474250458,0.307605154250524,1
0.15,113,6.03391178283696,1.00506101914271,0.292594134599699,1
0.15,114,3.5280587432258,1.00236946583288,0.336267546213419,1
0.15,115,0.0364168665466805,1.00193609952485,0.406179157486692,1
0.15,116,0.0178119645180452,1.00169162124909,0.356519533348934,1
0.15,117,0.250746763705359,1.00616455619424,0.323783258702424,1
0.15,118,1.23820938246232,1.00384835237028,0.367498035812041,1
0.15,119,0.0343647581295154,1.00203259187884,0.338967150977417,1
0.15,120,10.8821147912671,1.00173803616108,0.345035489036772,1
0.15,121,2.83047384754024,1.00267474821764,0.376805552130714,1
0.15,122,0.0735652217254726,1.00431773810162,0.308623513390264,1
0.15,123,0.0499294830862059,1.00314681425995,0.364361467177118,1
0.15,124,0.0873803347966585,1.00270330489302,0.373310021863582,1
0.15,125,1.39672776168696,1.00338394643719,0.378893090188239,1
0.15,126,0.369650538394853,1.00358104641398,0.412040889985493,1
0.15,127,0.0503364178537268,1.00588700521352,0.407024100031356,1
0.15,128,0.074979900737468,1.00156852193929,0.41488976459919,1
0.15,129,0.338801632807195,1.00363570020892,0.396156448675561,1
0.15,130,140.201593221963,1.00344915628823,0.33353129788162,1
0.15,131,0.584536544639762,1.00429140425274,0.33470316075801,1
0.15,132,0.0557453527414334,1.00328576691605,0.325582116257657,1
0.15,133,3.11241581601457,1.00290679890563,0.382827053113513,1
0.15,134,6.36546892220899,1.00304686290533,0.302153578266524,1
0.15,135,10.930080468437,1.00218463126872,0.343994158777638,1
0.15,136,0.0690914453360639,1.00255415343929,0.386449061174234,1
0.15,137,0.0116111857544947,1.00544286489253,0.345329791863267,1
0.15,138,0.554267290801309,1.0032456198906,0.336181930797584,1
0.15,139,0.0471849873842614,1.00205045074573,0.365913092032102,1
0.15,140,0.620283002713278,1.00260046132876,0.355105097208413,1
0.15,141,0.320095479417343,1.00358930126765,0.318081227626104,1
0.15,142,0.336714964738625,1.001567327608,0.394658215526056,1
0.15,143,0.710647324197009,1.0043227599433,0.383614399026911,1
0.15,144,3.44196262901833,1.00383110955535,0.33465275490013,1
0.15,145,2.35352726445528,1.00304601153478,0.358356845619112,1
0.15,146,0.0273339050121839,1.00501158831045,0.36089093848309,1
0.15,147,4.51263009140318,1.00218084658823,0.380852937262842,1
0.15,148,2.50220202409903,1.00331737773525,0.306286992948854,1
0.15,149,185945.035508371,1.0025079598873,0.304938760675718,1
0.15,150,0.782325233100777,1.00404049034084,0.378632912731252,1
0.15,151,0.283219081593611,1.00188646006441,0.36259481969502,1
0.15,152,3.0231824514518,1.0021581582599,0.329203122531419,1
0.15,153,0.773807616058003,1.00345175222401,0.372820181568117,1
0.15,154,0.357652194187864,1.00362088130118,0.38031584240764,1
0.15,155,0.951520876051089,1.00268676672333,0.37224506458606,1
0.15,156,2061.7916274172,1.00403248430631,0.36096825119322,1
0.15,157,0.137111081031199,1.00350371479179,0.372909808402493,1
0.15,158,0.153373781321623,1.0050509978017,0.332937944250101,1
0.15,159,0.187132224950761,1.00220322777992,0.39104964196622,1
0.15,160,2.84177899844273,1.00369659758447,0.400427576112568,1
0.15,161,1.08819334703894,1.00378186079232,0.338741569918306,1
0.15,162,1.6098148648818,1.00121288116146,0.35813636573375,1
0.15,163,5.3309761761096,1.00223160067834,0.392396061014757,1
0.15,164,7.49238910999151,1.00356303453567,0.291111084779502,1
0.15,165,0.347408403111028,1.00090031037601,0.417656689221468,1
0.15,166,0.0918960027191141,1.00577974647749,0.354130132978797,1
0.15,167,41.2938075309019,1.00396859649645,0.33920716655131,1
0.15,168,100.391789362918,1.00624958405589,0.357350650759778,1
0.15,169,0.125179029890756,1.00532415362677,0.339982226320297,1
0.15,170,0.484986129272114,1.00559776132439,0.321655730122277,1
0.15,171,0.859500912556457,1.00117076816186,0.36861212422665,1
0.15,172,0.175039250843367,1.0050145204187,0.395431238164981,1
0.15,173,472.361228214511,1.00515166796799,0.351831569363827,1
0.15,174,0.0618424232179011,1.00312793627798,0.418071875864945,1
0.15,175,0.321249769533516,1.00277105487374,0.346803267791939,1
0.15,176,0.091915874479587,1.00347252976548,0.315310391768482,1
0.15,177,2.35363684060107,1.00428534886244,0.328794515444028,1
0.15,178,0.0708411279719543,1.00353230212893,0.324495715157312,1
0.15,179,1137.12258329661,1.00308562433214,0.249314790810267,1
0.15,180,3.15603306052405,1.00532400024062,0.297943409634339,1
0.15,181,0.0180125468743342,1.00342898796303,0.38035306336224,1
0.15,182,1.71316811709171,1.00173338765093,0.308108741521621,1
0.15,183,5.03677944706834,1.00518684755085,0.339564606596332,1
0.15,184,0.500461352365961,1.00225276332993,0.331221313829929,1
0.15,185,0.505229678121941,1.0036081227418,0.342755743951248,1
0.15,186,0.110024107476999,1.00268200109482,0.397602272047631,1
0.15,187,1.19209172688853,1.00225481900477,0.373924833664942,1
0.15,188,71.4048060376259,1.00183785682934,0.339370600365052,1
0.15,189,5.90877135719158,1.00200906143907,0.384080295439713,1
0.15,190,28.0596969776957,1.00229555039775,0.3948921919868,1
0.15,191,0.0874182282051426,1.00310067959592,0.352622197780064,1
0.15,192,0.195994912790856,1.00314218794805,0.355216960124803,1
0.15,193,1.61374414617598,1.00325581544305,0.370866432637879,1
0.15,194,214.542779352846,1.00417340381154,0.295947512998622,1
0.15,195,1.41359905441408,1.00182565863548,0.372340611552521,1
0.15,196,0.0742221447803743,1.00230230535906,0.341704934449259,1
0.15,197,0.0231813213332459,1.00325460114394,0.345551222195558,1
0.15,198,0.0550592421655961,1.00336556523948,0.388516709269221,1
0.15,199,1563.59125111832,1.00614536507354,0.306578368811922,1
0.15,200,0.0282155226834798,1.0012318867103,0.364826750566703,1
0.15,201,2692.29103697384,1.00153286330623,0.191429034192769,1
0.15,202,696.244983598986,1.0054970870747,0.300752002162881,1
0.15,203,0.0418563686396021,1.00234690236128,0.347772116463382,1
0.15,204,0.605259601182646,1.00418532695747,0.356323481672502,1
0.15,205,4.07968671683341,1.00134300436477,0.382947840979111,1
0.15,206,0.0177977839036632,1.00172811937756,0.364053535938804,1
0.15,207,0.0146746879029474,1.00250591920367,0.418379477128238,1
